public_identifier;num_languages;language
%C3%B3skar-arn%C3%B3rsson-b04a6b56;2;Norwegian
%C3%B3skar-arn%C3%B3rsson-b04a6b56;3;French
%C3%B3skar-arn%C3%B3rsson-b04a6b56;4;English
%C3%B3skar-arn%C3%B3rsson-b04a6b56;5;Icelandic
%C3%B6m%C3%BCr-ta%C5%9Far-16a5b7;1;Turkish
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;1;Turkish
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;2;English
%C3%B6merh;1;Turkish
%C3%B6merh;2;English
%C3%B6v%C3%BCl-sezer-b21034142;1;Spanish
%C3%B6v%C3%BCl-sezer-b21034142;2;German
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;1;Turkish
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;2;English
%C3%B6zcan-%C3%A7%C4%B1nar-983545104;3;German
%C3%B6zcan-yurt-80b9a315;1;Spanish
%C3%B6zcan-yurt-80b9a315;2;English
%C3%B6zcan-yurt-80b9a315;3;Turkish
%C3%B6zg%C3%BCn-bursal%C4%B1-21132b36;1;English
%C3%B6zg%C3%BCn-bursal%C4%B1-21132b36;2;Turkish
%C3%B6zg%C3%BCr-akg%C3%BCn-ph-d-mba-58a3524;1;English
%C3%B6zg%C3%BCr-akg%C3%BCn-ph-d-mba-58a3524;2;Turkish
%C3%B6zge-%C3%B6zbayram-88329795;1;English
%C3%B6zge-%C3%B6zbayram-88329795;2;German
%C3%B6zge-%C3%B6zbayram-88329795;3;Turkish
%C3%B6zlem-diker-mba-93b28325;1;English
%C3%B6zlem-diker-mba-93b28325;2;German
%C3%B6zlem-diker-mba-93b28325;3;Turkish
%C3%BArsula-gabriela-jessee-4145a61;1;Spanish
%C3%BArsula-gabriela-jessee-4145a61;2;Arabic
%C3%BCm%C3%BCt-gercek-10314ba7;1;Deutsch
%C3%BCm%C3%BCt-gercek-10314ba7;2;T\u00fcrkisch
%C3%BCm%C3%BCt-gercek-10314ba7;3;Englisch
%C3%BCm%C3%BCt-gercek-10314ba7;4;Spanisch
%C3%BCm%C3%BCt-gercek-10314ba7;5;Franz\u00f6sisch
%C3%BCmm%C3%BC-g%C3%BCls%C3%BCm-kurt-325a6958;1;English
%C3%BCmm%C3%BC-g%C3%BCls%C3%BCm-kurt-325a6958;2;Old(ca.450-1100)
%C4%91%E1%BA%B7ng-tr%C6%B0%E1%BB%9Dng-thi%C3%AAn-%C4%91o%C3%A0n-b6157449;1;English
%C4%91%E1%BA%B7ng-tr%C6%B0%E1%BB%9Dng-thi%C3%AAn-%C4%91o%C3%A0n-b6157449;2;French
%C4%91%E1%BA%B7ng-tr%C6%B0%E1%BB%9Dng-thi%C3%AAn-%C4%91o%C3%A0n-b6157449;3;Vietnamese
%C4%91anho%C3%A0ngphan;1;Vietnamese
%C4%91anho%C3%A0ngphan;2;Spanish
%C5%82ukasz-go%C5%82%C4%99biewski-6872a190;1;English
%C5%82ukasz-go%C5%82%C4%99biewski-6872a190;2;Polish
%C5%82ukasz-go%C5%82%C4%99biewski-6872a190;3;German
%C5%82ukasz-p%C5%82oszczuk;1;Angielski
%C5%82ukasz-p%C5%82oszczuk;2;Polski
%C5%9Fahmerdan-aliyev-814006110;1;Turkish
%C5%9Fahmerdan-aliyev-814006110;2;Russian
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;1;\u010de\u0161tina
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;2;angli\u010dtina
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;3;francouz\u0161tina
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;4;pol\u0161tina
%C5%A1%C3%A1rka-sobkov%C3%A1-052bb5b3;5;sloven\u0161tina
%CE%B2%CE%B5%CF%81%CE%B9%CF%82-%CE%B2%CE%BF%CE%B3-b3710812a;1;English
%CE%B2%CE%B5%CF%81%CE%B9%CF%82-%CE%B2%CE%BF%CE%B3-b3710812a;2;Italian
%CE%BAara-lindquist-52b8b251;1;English
%CF%81rabhat-%D1%82iwari-0253791b;1;English
%CF%81rabhat-%D1%82iwari-0253791b;2;Hindi
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0-%D1%81%D0%BD%D0%B8%D0%B3%D1%83%D1%80-954107a3;1;\u0420\u0443\u0441\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0-%D1%81%D0%BD%D0%B8%D0%B3%D1%83%D1%80-954107a3;2;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9-%D0%B4%D1%8E%D1%82%D0%B8%D0%BD-b295b4a4;1;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9-%D0%B4%D1%8E%D1%82%D0%B8%D0%BD-b295b4a4;2;\u0418\u0441\u043f\u0430\u043d\u0441\u043a\u0438\u0439
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D0%BE%D0%B4%D0%B5%D1%81-23179aa9;1;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-78107a7a;1;\u0420\u0443\u0441\u0441\u043a\u0438\u0439
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-78107a7a;2;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%D0%B0%D0%BD%D0%B4%D1%80%D0%B5%D0%B9-%D0%BF%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87-%D1%81%D0%B5%D1%80%D0%B3%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE-78107a7a;3;\u0423\u043a\u0440\u0430\u0438\u043d\u0441\u043a\u0438\u0439
%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B9-%D0%BA%D1%80%D1%96%D1%87%D1%84%D0%B0%D0%BB%D1%83%D1%88%D1%96%D0%B9-5b26031a9;1;English
%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B9-%D0%BA%D1%80%D1%96%D1%87%D1%84%D0%B0%D0%BB%D1%83%D1%88%D1%96%D0%B9-5b26031a9;2;Ukrainian
%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B9-%D0%BA%D1%80%D1%96%D1%87%D1%84%D0%B0%D0%BB%D1%83%D1%88%D1%96%D0%B9-5b26031a9;3;Russian
%D0%B0%D0%BD%D0%BD%D0%B0-%D0%BA%D1%80%D0%B5%D0%B9%D0%BD%D0%B8%D0%BD%D0%B0-a4951b56;1;\u0410\u043d\u0433\u043b\u0438\u0439\u0441\u043a\u0438\u0439
%7E-jo-lynne-artist-877818124;1;English
%7Eag;1;English
%7Eag;2;Hindi
%7Eazain;1;English
%7Eazain;2;Urdu
%7Eazain;3;Punjabi
%7Eazain;4;German
%7Eazain;5;Turkish
%7Emichael%7Emccormick;1;Spanish
%7Eqytang;1;Chinese
%7Eqytang;2;English
%7Eshahid-rizvi%7E-92910042;1;English
%7Eshahid-rizvi%7E-92910042;2;Urdu
%7Eshahid-rizvi%7E-92910042;3;Hindi
%7Eshahid-rizvi%7E-92910042;4;Punjabi
%7Estay%7Epositive%7E;1;Arabic
%7Estay%7Epositive%7E;2;English
%7Estay%7Epositive%7E;3;French
%7Etianhuishellyyu;1;English
%7Etianhuishellyyu;2;MandrianChinese
%7Eufarooq;1;English
%7Eufarooq;2;Urdu
%7Eufarooq;3;Punjabi
%7Eyanpeng;1;English
%7Eyanpeng;2;Chinese
%7Eyanpeng;3;Cantonese
%7Eyuyingwang;1;Chinese
%7Eyuyingwang;2;English
%7Eyuyingwang;3;Korean
%7Eyuyingwang;4;Cantonese
%C2%A0jennifer-bennett-9075a912;1;English
%C2%AEaarongabler;1;English
%C2%AEaarongabler;2;Spanish
%C3%97maria-mejia-ab3b5aa6;1;Spanish
%C3%97maria-mejia-ab3b5aa6;2;English
%C3%A0nna-bose-07777244;1;English
%C3%A1gnes-romh%C3%A1nyi-4baa775a;1;German
%C3%A1gnes-romh%C3%A1nyi-4baa775a;2;English
%C3%A1gnes-tapolyai-0a48a671;1;English
%C3%A1gnes-tapolyai-0a48a671;2;Hungarian
%C3%A1ine-ni-ghallach%C3%B3ir-7a591516;1;English
%C3%A1ine-ni-ghallach%C3%B3ir-7a591516;2;Gaelic
%C3%A1lex-ram%C3%ADrez-arballo-15734990;1;English
%C3%A1lex-ram%C3%ADrez-arballo-15734990;2;Spanish
%C3%A1lvaro-franco-64982621;1;English
%C3%A1lvaro-franco-64982621;2;Spanish
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;1;Espa\u00f1ol
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;2;Ingl\u00e9s
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;3;Franc\u00e9s
%C3%A1lvaro-ontiveros-204a5133;1;English
%C3%A1lvaro-ontiveros-204a5133;2;Spanish
%C3%A1lvaro-ontiveros-204a5133;3;German
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;1;Spanish
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;2;English
%C3%A1ngel-guill%C3%A9n-casado-a8932817;1;Ingl\u00e9s
%C3%A1ngel-guill%C3%A9n-casado-a8932817;2;Espa\u00f1ol
%C3%A1ngel-m-su%C3%A1rez-mba-mpa-clu%C2%AE-22314258;1;Spanish
%C3%A1ngel-rafael-ralph-v%C3%A1zquez-concepci%C3%B3n-23648936;1;English
%C3%A1ngel-rafael-ralph-v%C3%A1zquez-concepci%C3%B3n-23648936;2;Spanish
%C3%A1ngela-aristizabal-0b584296;1;Spanish
%C3%A1ngela-aristizabal-0b584296;2;English
%C3%A1ngela-p%C3%A9rez-5293b365;1;English
%C3%A1ngela-p%C3%A9rez-5293b365;2;Italian
%C3%A1ngela-p%C3%A9rez-5293b365;3;Spanish
%C3%A1ngeles-angie-peralta-11a93358;1;English
%C3%A1ngeles-angie-peralta-11a93358;2;Spanish
%C3%A1ngeles-molinero-2ba56247;1;English
%C3%A1ngeles-molinero-2ba56247;2;Spanish
%C3%A1sgeir-bollason;1;English
%C3%A1sgeir-bollason;2;Icelandic
%C3%A1sta-covert-5511656;1;Icelandic
%C3%A1sta-covert-5511656;2;English
%C3%A2ngela-crespo-47723693;1;Portuguese
%C3%A2ngela-crespo-47723693;2;English
%C3%A2ngela-crespo-47723693;3;Spanish
%C3%A4r%C3%BCb%C3%A4-%C3%A4dr%C3%AF-09971a84;1;English
%C3%A4r%C3%BCb%C3%A4-%C3%A4dr%C3%AF-09971a84;2;Spanish
%C3%A5ndy-sims-12a675a2;1;English
%C3%A5ndy-sims-12a675a2;2;Spanish
%C3%A5sa-aulin-ahlberg-03829;1;English
%C3%A5sa-aulin-ahlberg-03829;2;Swedish
%C3%A5sa-aulin-ahlberg-03829;3;Spanish
%C3%A5sa-aulin-ahlberg-03829;4;German
%C3%A5sa-w%C3%A5hlander-4825157;1;Swedish
%C3%A5sa-w%C3%A5hlander-4825157;2;English
%C3%A7a%C4%9Fr%C4%B1-hakan-zaman-7b32b641;1;English
%C3%A7a%C4%9Fr%C4%B1-hakan-zaman-7b32b641;2;Turkish
%C3%A7isil-sarisoy-30939118;1;English
%C3%A7isil-sarisoy-30939118;2;Turkish
%C3%A7lirim-vehapi-821281110;1;English
%C3%A9l%C3%A9onore-martinache-7429b49b;1;English
%C3%A9l%C3%A9onore-martinache-7429b49b;2;French
%C3%A9l%C3%A9onore-martinache-7429b49b;3;Spanish
%C3%A9l%C3%A9onore-martinache-7429b49b;4;Japanese
%C3%A9l%C3%A9onore-martinache-7429b49b;5;Italian
%C3%A9lder-barrios-6b597110b;1;Spanish/English
%C3%A9lodie-vajda-262554a6;1;French
%C3%A9lodie-vajda-262554a6;2;English
%C3%A9rika-santos-94358612b;1;English
%C3%A9rika-santos-94358612b;2;Portugu\u00eas
%C3%A9va-lomuscio-llbsw-48117985;1;English
%C3%A9va-lomuscio-llbsw-48117985;2;Spanish
%C3%ADgor-garcia-70696616;1;English
%C3%ADgor-garcia-70696616;2;Portuguese
%C3%ADgor-garcia-70696616;3;Spanish
%C3%ADsishigino;1;Ingl\u00eas
%C3%ADsishigino;2;Portugu\u00eas
%C3%B3scar-miramontes-aa510130;1;Spanishfluent/English
%C3%B6mer-alp-44708a38;1;Turkish
%C3%B6mer-alp-44708a38;2;English
%C3%B6mer-alp-44708a38;3;Spanish
%C3%B6mer-batuhan-k%C4%B1r%C4%B1lmaz-19b4634a;1;Almanca
%C3%B6mer-batuhan-k%C4%B1r%C4%B1lmaz-19b4634a;2;English
%C3%B6mer-batuhan-k%C4%B1r%C4%B1lmaz-19b4634a;3;T\u00fcrk\u00e7e
%C3%B6mer-ulu-b1b17554;1;Turkish
%C3%B6zg%C3%BCr-uca-61250828;1;English
%C3%B6zg%C3%BCr-uca-61250828;2;German
%C3%B6zg%C3%BCr-uca-61250828;3;Turkish
%C3%B6zkan-kayatuerk-33bbba47;1;German
%C3%B6zlem-kolayl%C4%B1-karacuhal%C4%B1lar-2272b41a;1;English
%C3%B6zlem-sayg%C4%B1-birg%C3%BCn-a1463721;1;English
%C3%B6zlem-sayg%C4%B1-birg%C3%BCn-a1463721;2;Turkish
%C3%B8rjan-j%C3%A5thun-0483b2197;1;Bokm\u00e5l
%C3%B8rjan-j%C3%A5thun-0483b2197;2;Norwegian
%C3%B8rjan-j%C3%A5thun-0483b2197;3;English
%C3%B8sten-glenn-anderson-7986147;1;Spanish
%C3%BCmit-ertin-456583b;1;English
%C3%BCmit-ertin-456583b;2;Turkish
%C3%BCmit-ertin-456583b;3;French
%C3%BCzeyir-%C3%A7uhadar-a09096a6;1;T\u00fcrk\u00e7e
%C3%BCzeyir-%C3%A7uhadar-a09096a6;2;\u0130ngilizce
%C4%91o%C3%A0n-ti%E1%BA%BFn-c%C3%B4ng-a4a986148;1;English
%C4%91o%C3%A0n-ti%E1%BA%BFn-c%C3%B4ng-a4a986148;2;Vietnamese
%C4%91o%C3%A0n-ti%E1%BA%BFn-c%C3%B4ng-a4a986148;3;Chinese
%C5%82ukasz-dysarski-33735457;1;angielski
%C5%82ukasz-dysarski-33735457;2;szwedzki
%C5%82ukasz-dysarski-33735457;3;rosyjski
%C5%82ukasz-dysarski-33735457;4;niemiecki
%C5%82ukasz-dysarski-33735457;5;polski
%C5%82ukasz-podg%C3%B3recki-9a87a5107;1;polski
%C5%82ukasz-podg%C3%B3recki-9a87a5107;2;angielski
%C5%82ukasz-podg%C3%B3recki-9a87a5107;3;niemiecki
%C5%9Bul%C3%A9-forti-198908132;1;English
%C5%9Bul%C3%A9-forti-198908132;2;Turkish
%C5%9Bul%C3%A9-forti-198908132;3;Italian
%C5%9F%C3%BCkr%C3%BC-komit-20480411b;1;T\u00fcrk\u00e7e
%C5%9F%C3%BCkr%C3%BC-komit-20480411b;2;\u0130ngilizce
%C5%9Fahin-eray-kirdim-89086062;1;\u0130ngilizce
%C5%9Fahin-eray-kirdim-89086062;2;T\u00fcrk\u00e7e
%C5%9Felale-anapa-1586a0158;1;Spanish
%C5%9Felale-anapa-1586a0158;2;Turkish
%C5%9Feyma-%C3%B6zge-6068a8104;1;T\u00fcrk\u00e7e
%C5%9Feyma-%C3%B6zge-6068a8104;2;\u0130ngilizce
%C5%9Feyma-%C3%B6zge-6068a8104;3;\u0130spanyolca
%C5%9Fule-gerovich-764b538;1;Turkish
%C5%A1erifa-dela-cruz-m-a-09b0ab68;1;Serbian
%C5%A1erifa-dela-cruz-m-a-09b0ab68;2;Bosnian
%C5%A1erifa-dela-cruz-m-a-09b0ab68;3;Croatian
%C5%A1erifa-dela-cruz-m-a-09b0ab68;4;English
%C5%A1tefan-stanko-897584131;1;English
%C5%A1tefan-stanko-897584131;2;French
%C5%A1tefan-stanko-897584131;3;Slovak
%C5%A1tefan-stanko-897584131;4;Czech
%C5%A1tefan-stanko-897584131;5;Dutch
%C5%BCaneta-matecka-50aa4488;1;English
%C5%BCaneta-matecka-50aa4488;2;Polish
%C5%BEelimir-sekuli%C4%87;1;Serbian
%C5%BEelimir-sekuli%C4%87;2;English
%C5%BEelimir-sekuli%C4%87;3;Spanish
